team name,flag ISO,NM1,NM2,NM3,NM4,HD1,HD2,HR1,HR2,DT1,DT2,Seed,NM Seed,HD Seed,HR Seed,DT Seed,NM1,NM2,NM3,NM4,HD1,HD2,HR1,HR2,DT1,DT2,team size,p1 ID,p2 ID,p3 ID,p4 ID,p1 flag code,p2 flag code,p3 flag code,p4 flag code
10000000 backflips,US,982025,1522922,727821,743972,946736,493110,1298392,980755,1753104,966604,18,18,53,19,9,27,4,37,34,48,64,20,18,6,19,4,13586618,7225339,1901534,13214651,US,LT,US,US
2hu vape squad,AU,786057,814884,471476,596116,675059,308351,859378,790430,956870,401221,61,62,84,52,55,56,42,69,60,75,78,61,33,50,64,4,3222676,8570559,10981171,10339653,AU,AU,NZ,AU
4BK PEDAH,RU,287496,258112,349539,414966,1112586,266746,578143,113344,261487,272968,87,94,61,90,87,98,91,82,81,30,83,84,97,90,82,2,14783866,8941856,,,RU,RU,,
4OldManBestSuiGiai,VN,829894,747299,739428,923843,1083212,459679,1093647,612918,886749,292193,47,38,48,48,64,49,52,35,15,35,67,44,47,56,77,4,6673790,3999831,5449433,4039647,VN,VN,VN,VN
4P,CA,490718,229063,253628,429380,340051,158134,509010,391606,350442,166171,92,91,94,83,89,93,93,92,80,95,93,89,72,87,92,4,11781098,11489119,11557281,14022785,CA,CA,US,CA
:ruotsi:,FI,1024605,1004943,1361402,780194,926093,1245889,1142436,904692,1773460,1590638,11,14,19,24,4,24,29,3,29,51,5,39,23,5,2,4,8925266,11375251,9561644,7005392,FI,FI,FI,FI
>c ronaldo7,ES,956173,760950,547091,617605,965333,389679,1432381,587081,772903,325611,52,51,63,26,68,29,51,57,58,45,69,12,53,64,71,4,8865297,6216284,8433636,17594074,ES,ES,ES,ES
@tzero anime??????,MY,764632,239664,627323,641902,596479,992131,670802,364176,255650,417613,74,70,45,77,82,57,92,52,52,85,15,80,75,91,62,2,6231292,6088976,,,MY,MY,,
A5 Ramen,NO,804062,776270,847238,718570,646973,502047,767739,607951,1075195,1470774,43,41,73,63,11,54,48,27,38,78,61,68,49,40,4,4,14963905,4659319,9570455,13160898,NO,MN,SG,US
ABRENUNCIAÇÃO😈,PT,601531,609819,413260,430017,601221,260631,710299,360164,454461,194797,82,76,85,74,84,78,70,75,79,82,84,76,76,81,89,4,2850104,2492226,9499290,15767298,PT,PT,PT,PT
AP Classroom,US,588765,357132,294677,324423,904815,237297,544476,171574,208777,107874,89,88,75,89,97,79,82,89,93,54,87,85,91,95,98,3,17299001,8924287,12777516,,US,US,US,
Albion online es u,ES,647070,696363,429152,490985,629196,359718,976097,496576,750371,425926,71,72,83,59,65,73,59,74,73,79,72,53,63,65,61,4,16420295,10735807,14987100,10849508,ES,ES,ES,ES
Anton and friends,NO,929746,1006961,1029037,856287,979165,502135,1111739,895452,929121,837093,36,22,52,30,38,33,28,13,19,43,60,43,26,52,30,4,10622576,12353810,12959983,9523661,NO,NO,NO,FI
Baksal,KR,1113173,991492,797430,796815,1414073,699779,1264331,961181,1596864,785326,20,25,20,21,19,15,31,28,25,15,34,25,20,9,33,4,114017,757783,5309981,14447878,KR,KR,KR,KR
Balec,CA,548453,446729,370648,335895,360866,258927,475502,416335,184581,187954,90,83,93,85,94,86,80,79,92,94,86,94,71,97,90,2,8514740,14087398,,,CA,CA,,
Banana da Madeira🍌,PT,1068611,789797,1030905,616614,1478034,574202,1265849,515800,1129929,518176,38,31,24,42,46,19,46,12,59,10,48,24,59,37,52,4,4430263,799218,11610772,3256745,PT,PT,PT,PT
BlaskBasedCtn(BBC),SG,573016,179238,322787,384373,618958,386889,487830,188136,408505,255313,88,90,80,91,83,84,97,88,85,81,70,92,88,83,85,4,20352072,5346730,9562353,1274585,SG,NO,DE,HK
Blue Pants,US,1131634,1290110,873354,1157740,1529059,1104327,1335040,1554736,1528109,850886,8,12,7,5,20,14,10,25,4,7,9,16,2,15,27,4,6619303,13380270,5645231,3533958,US,US,US,US
Bread Incarnate,DE,1302027,1017271,532854,655191,900924,633335,1555784,920039,1393797,609262,32,30,49,12,34,8,27,62,47,56,40,9,21,22,46,4,2022445,3772251,754565,1458932,DE,DE,DE,DE
Bunny Enjoyers,US,1090923,1124020,715408,737600,1435483,846256,1402194,623951,1322130,865249,24,27,17,25,29,18,20,38,35,13,22,13,43,25,25,4,11955716,14215850,3457063,10486062,US,US,US,US
DA ZONE,US,838819,904792,742841,652895,958058,718033,1400261,608581,1261087,691313,42,42,40,29,36,48,36,34,49,46,31,14,48,29,38,4,13628898,7249644,11555612,13241562,US,US,US,US
Dreamy goat,HU,715673,855688,552146,674995,936177,785979,755730,387665,615126,318809,63,55,36,70,74,66,38,56,43,50,25,70,73,72,74,4,19309181,5271371,7668715,18690280,HU,HU,HU,HU
El Gato,CA,719803,804776,586351,504666,870853,500782,722005,523209,785726,558326,64,64,62,67,56,65,43,55,72,62,63,75,58,62,50,3,12835025,9728880,12058601,,CA,CA,CA,
FLOPINSKI,PL,1964325,1985611,1865628,1066660,2091141,1942952,1599121,1022922,2350028,1363147,1,1,1,10,1,1,1,1,8,1,1,8,15,1,6,4,12408961,11443437,10549880,8640970,PL,KR,NO,PH
Finger Controln't,GB,688394,633308,888892,664879,901234,676804,1215630,561371,812951,638473,46,52,46,43,52,68,69,23,46,55,36,30,55,60,42,4,13915963,11502740,7333471,2232928,GB,GB,GB,GB
FishOnFire,DE,969007,1051601,770352,573829,1044503,658643,1330072,558433,1423607,632363,39,37,39,38,32,28,25,31,63,39,38,17,56,19,44,4,12988448,12309147,9074108,11234706,DE,DE,DE,DE
Fishe,FI,872433,776896,994882,760471,1100533,1853829,1366286,1093065,885329,557044,21,33,4,13,53,40,47,16,31,32,2,15,13,57,51,4,2035254,12033812,16538717,10869615,FI,US,US,CA
Funky,CA,954334,715332,477822,544397,751505,525526,877758,701980,525988,280413,66,60,67,56,79,30,57,68,66,72,54,58,37,77,78,4,3388082,8607968,3545323,15342657,CA,US,CA,CA
GGWP,RO,653065,1092475,756011,625470,1100415,317230,779358,500668,852505,356601,58,43,55,66,62,72,23,32,57,33,77,65,62,58,69,3,15995105,9805089,5563397,,RO,US,NO,
GO USA :flag_mx:,US,738424,768223,678619,467529,876788,508200,931699,681194,891728,801572,50,63,60,54,42,63,49,46,75,61,59,55,38,54,32,4,12115298,12609022,10224047,14689295,US,US,US,DE
Gensokyo Goofballs,DE,513527,346738,211217,414858,190579,127908,763386,129005,499126,315756,91,89,98,84,78,90,84,93,82,98,95,69,96,78,75,3,13480145,3486996,13728431,,DE,US,DE,
Gensou Skydrifters,MY,660289,154685,471266,403925,666150,482308,486983,380060,822330,258514,79,84,74,86,70,71,99,70,83,77,65,93,74,59,84,4,14067834,10862128,11015571,5187207,MY,SG,SG,SG
Good Apple,IN,684771,330272,468059,645542,896172,320701,796862,322945,638586,673355,72,74,70,72,57,69,85,71,51,57,76,64,79,68,40,4,7111019,10250612,11412507,1788022,IN,IN,IN,IN
GuruguruMawaru,CN,1480963,944041,959618,916866,1298830,1031839,1699086,985058,1622514,903683,12,13,15,9,12,4,35,17,16,17,14,6,17,8,23,4,1355695,6338477,1646397,7825227,CN,CN,CN,CN
Inflatable Boat,AU,843068,725454,388150,633140,790742,297518,1229746,424360,803202,401724,65,65,78,51,63,46,55,77,55,69,81,28,70,61,63,4,7785655,18436993,18568555,12531484,AU,US,US,US
Japanese goblin,US,363803,189263,189910,229989,336820,93792,367435,110414,410642,118116,98,98,97,98,88,97,95,96,98,96,97,96,98,82,96,3,15112329,17661334,22600085,,US,US,US,
JotnyangE fan club,KR,1029172,732712,713313,648268,815672,576046,860359,623612,1065939,1142052,44,44,58,58,28,23,54,39,50,67,47,60,44,41,12,4,12046321,8359561,15038779,14174951,KR,KR,KR,KR
KosuzuShouldveDied,CL,565668,402199,376690,375721,517448,229525,755396,305773,305057,209955,85,82,88,75,90,85,81,78,87,88,88,71,81,88,88,2,1314547,903978,,,CL,ES,,
La+ Ratio,SG,787280,659520,543781,710447,1073983,705553,958750,619840,664212,483555,54,59,33,57,67,55,65,58,40,36,33,54,46,67,54,4,10722794,10458639,8150535,7249261,SG,RU,SE,AL
Lesbian Group,BR,481881,227895,190788,254841,454157,198849,335620,172935,183153,126958,97,97,91,97,98,95,94,95,97,92,89,97,90,98,95,4,19875644,22973790,22588869,25224927,BR,GB,BR,BR
Los PollosHermanos,AR,636621,521341,292909,269451,586397,524265,581926,228649,240203,268455,84,81,77,87,91,74,73,90,95,86,55,83,87,92,83,4,12182138,14385002,13295340,20495035,AR,BR,US,BR
Methylphenidate,US,588359,671931,593300,430520,802166,627343,1058741,571820,995252,724293,57,69,54,53,39,80,63,54,78,68,42,48,54,47,36,4,10323184,8525223,8601970,11740073,US,US,US,US
Miku Enjoyers,CA,1000392,684107,465660,581762,598466,557232,914659,484441,628425,340262,68,58,72,62,73,26,61,72,61,83,50,56,65,70,70,2,5425046,15379548,,,CA,CA,,
Miku fanclub,BR,1630614,1250900,1241616,913170,1838007,1122075,1868900,1068314,1310522,1746699,2,5,3,4,6,2,11,4,18,2,8,2,14,26,1,4,3149577,5981005,12779141,2291265,BR,RU,PL,PE
My Angel NathanRam,PH,1064451,904768,673017,914941,1257339,810267,1287159,1109387,1717144,1075107,16,29,22,15,7,20,37,47,17,22,24,23,11,7,14,4,6073492,12028437,9683186,4734703,PH,PH,SA,PH
NVM,KR,909723,832861,479238,653212,987524,501333,1319065,620928,1007309,279487,49,53,51,35,58,36,41,67,48,42,62,18,45,45,79,4,10776788,12241010,11596326,2507187,KR,NL,KR,JP
Not Qualifiying,US,375344,329221,322864,268324,483713,190467,374987,157168,211421,153951,96,95,90,95,95,96,86,87,96,90,91,95,92,94,94,2,16834515,22693832,,,US,NL,,
PengFrogTedotter,UY,863706,608288,788238,572205,878453,533929,911929,504491,957378,590250,55,54,56,61,49,42,71,29,64,60,53,57,61,49,47,4,5382216,12045254,9717848,16140136,UY,CA,BG,BR
Pochki Otkazali,EE,532950,1101245,534734,504710,761127,271157,499600,155979,526285,302033,77,61,79,93,77,89,22,61,71,71,82,90,93,76,76,4,16558476,15656399,12327038,17066686,EE,KZ,IL,KZ
Quantum Rizzics,US,536974,500035,351734,381515,582243,195069,687323,309953,371562,273187,83,80,86,79,85,88,75,81,86,87,90,78,80,86,81,4,15928955,16951468,14188203,21229598,US,US,US,US
Red_pixel,RU,1101766,1584726,1002233,1134218,1807155,1592047,2124896,1202466,1520666,901185,4,7,2,1,18,17,3,15,6,3,3,1,8,16,24,4,11552867,9694263,9405745,16817965,RU,RU,SE,KZ
Reginald,US,1201462,1477251,888239,934341,1755159,1102704,1640982,1606188,2287403,1143098,3,11,5,2,2,13,5,24,13,4,11,7,1,2,11,4,2590257,7813296,4830687,2546001,US,US,US,CL
Searching for Food,BY,581103,484386,329773,505232,824430,520717,675426,349001,685182,371321,75,78,64,78,72,82,78,84,70,66,56,79,77,66,67,4,13827317,14386534,10997439,15406353,BY,BY,BY,BY
Seed 63,RU,894106,494920,539852,639281,620180,601421,1011845,595327,629208,644904,60,66,69,55,59,38,76,60,53,80,45,51,52,69,41,4,14518295,17425272,17219661,8165685,RU,RU,RU,RU
ShrineMaidenSlaya,US,1349334,855299,899663,759547,1205973,572169,1183552,1101855,1596486,840843,19,19,34,18,15,6,39,22,32,25,49,32,12,10,29,4,12522447,8926244,9993348,4108547,US,US,US,US
Sinq in the come,GB,862583,716283,729288,629189,761572,366176,1294704,507451,925310,325546,56,48,76,41,61,43,56,36,56,70,71,21,60,53,72,2,15887523,7361767,,,GB,GB,,
Sputnik Temple,DE,676079,542285,531271,576294,1099642,457873,702763,438406,551541,324074,70,68,47,71,75,70,72,63,62,34,68,77,68,75,73,3,11726139,15441612,8268978,,DE,DE,DE,
Sqwod,US,495103,356788,292260,435604,473643,259532,512508,136617,888520,274988,86,87,89,94,66,92,83,91,77,91,85,88,95,55,80,4,17597862,19039261,11231410,20956910,US,GB,US,US
Super Seducers,FR,747671,509461,457369,556227,945126,724158,817109,638815,470019,386752,67,71,41,60,76,61,74,73,65,49,30,63,42,79,66,3,9652467,13935409,6745742,,FR,FR,FR,
Suwako Moriya,KR,1260245,946907,1173086,677889,1321047,765991,829975,1110596,782218,469491,31,17,21,34,60,11,34,7,42,16,26,62,10,63,57,4,9586445,11129034,1041943,1274798,KR,KR,KR,KR
TAKONAKY DAAA,PE,762679,324254,333350,529324,684815,543563,643360,278914,467027,211082,78,77,68,82,81,58,87,83,68,74,52,82,83,80,87,3,12027165,18495184,8715276,,PE,PE,PE,
The 4 forensics,IL,952634,698158,543293,756477,917798,728899,1228906,1228414,1092377,617265,40,47,42,14,41,31,58,59,33,53,28,29,7,39,45,4,7799629,12083446,7274010,12713821,IL,IL,IL,IL
The PP Farmers,AU,35721,43806,37177,27845,30899,24031,50037,20247,29119,44438,101,101,101,100,100,101,100,101,101,101,101,100,100,100,100,2,28612680,28938276,,,AU,AU,,
The Tuohuo,AR,952565,1430169,949294,773912,1019155,820150,1290751,470015,1026241,575270,35,16,29,44,47,32,7,19,30,41,23,22,66,43,49,4,13065919,7081596,3272902,13709281,AR,AR,AR,RU
Thug Hunters,AU,546461,167418,150400,387864,375961,67087,519654,274542,277853,115986,95,96,96,88,93,87,98,97,84,93,98,87,85,89,97,3,19369403,12263141,12178127,,AU,AU,AU,
UOOGGGHHHH MARISAA,ID,847329,798928,359232,536959,828918,695516,1046313,661070,621684,858919,51,67,50,47,51,44,45,80,67,65,35,50,40,71,26,4,11461426,11113661,12443104,17086658,ID,ID,MY,ID
UPRPRC,CA,1009803,641239,940801,790836,1134234,1496918,1063256,896511,1385019,942963,22,35,8,33,24,25,68,20,28,29,4,47,24,23,22,4,13437064,9362168,6989615,1987591,CA,NL,NL,ID
Uprankers,GB,731118,648661,684133,853775,1521086,516563,1184802,1136739,1246936,845631,33,49,25,16,31,64,67,44,20,8,57,31,9,30,28,4,18131614,8152145,17706086,11706972,GB,SG,GB,GB
admirateurs2Nos_If,FR,813046,687359,775602,719101,865357,477772,988255,748914,1052482,475713,48,46,65,45,50,52,60,30,37,63,66,52,35,42,55,4,11129041,2282145,3257847,17467899,FR,FR,FR,FR
asddfdsgdffd,US,906674,991731,1022825,670872,1296887,610494,1058096,601643,1202643,1227712,29,28,28,50,16,37,30,14,45,18,44,49,50,33,9,3,8198848,4256461,4497582,,US,MX,MX,
average fumokicker,DE,230688,187503,146658,137526,80002,46933,207419,70136,79128,84555,99,99,99,99,99,99,96,98,99,99,99,99,99,99,99,2,11849140,17517509,,,DE,DE,,
bedge,RU,840996,1181927,636506,717795,952002,351167,1064518,819396,1215414,467721,45,36,66,39,43,47,15,50,39,47,74,46,31,32,58,4,6830745,10748381,8404990,13951894,RU,RU,RU,RU
bolas peludas,UY,865999,842836,630582,703058,1471924,970355,1160505,776198,1017933,1355065,27,45,12,36,22,41,40,51,41,12,17,34,34,44,7,4,6942259,13207763,9393446,12434652,UY,US,AR,CL
boytots slave ring,US,1030740,955543,1036155,1087630,1474882,857917,1117738,979866,1307851,709491,17,15,14,23,33,22,33,11,7,11,20,42,19,27,37,4,4755314,2758279,11310892,2848604,US,CA,CA,US
chocked up,CA,745400,802655,688496,968985,1107775,600071,1156200,860948,1410760,1079075,30,40,38,27,14,62,44,43,9,31,46,36,28,21,13,4,22710559,9276293,6671641,10975777,CA,US,IE,CA
friends,UA,812101,767908,648732,673833,1162580,631410,738891,424982,374297,365209,62,50,32,68,80,53,50,48,44,27,41,72,69,85,68,3,18781432,8441074,8861593,,UA,KR,US,
fumo milkers,US,845848,677961,615695,634985,865021,305052,868202,485515,1227401,451350,59,56,71,64,44,45,62,53,54,64,80,59,64,31,59,3,5009715,11405263,3149395,,US,US,US,
good meowning,US,823047,1130352,949315,951132,1478071,1039206,1183166,722643,1149912,757336,23,21,10,37,37,50,19,18,11,9,13,33,36,35,34,4,3426414,12904237,8208289,11267857,US,US,US,CA
grease monkey,GR,1211185,984159,1176944,1144455,1718519,982334,1142987,825202,984083,1002077,14,10,6,32,35,12,32,6,5,6,16,38,30,48,17,4,11226645,15427656,9211924,9414229,GR,GR,NO,NO
halcyon,JE,1103353,1635805,919560,1270090,1741258,612811,1727722,1351624,1874806,1510307,5,6,13,3,3,16,2,21,3,5,43,5,3,3,3,4,11592896,14097024,12378737,1876565,JE,US,US,PL
ikun,CN,761820,1113237,1157074,823148,965874,641096,1066801,1246748,1780935,1456770,15,20,43,17,5,59,21,9,23,44,39,45,6,4,5,4,7839397,2522197,3139364,5242158,CN,CN,CN,CN
julla,US,483203,488391,323298,307134,1035605,352755,492778,655075,597580,486978,76,86,59,69,69,94,77,86,94,40,73,91,41,73,53,2,8581210,12776754,,,US,US,,
mariSad,IT,1299446,1248351,1158601,1425342,1222078,1104157,1733960,1014908,1414593,816826,7,3,16,6,26,9,12,8,2,23,10,4,16,20,31,4,6387149,11215030,3698691,5326197,IT,SM,AU,JP
max gamefantomblod,RE,581388,667764,503161,479129,596887,168441,772822,333286,1133495,579967,73,73,87,73,40,81,64,66,74,84,92,67,78,36,48,2,4611418,4604369,,,RE,FR,,
of 4 is good,BR,756499,1364693,748504,803636,918740,852080,1122915,862507,1268284,1052972,28,26,35,31,25,60,8,33,24,52,21,41,27,28,15,4,10157694,15274893,9507565,4316633,BR,BR,US,SE
oldmappinglovers,RU,635386,656233,412213,357784,669983,324837,773912,275443,396734,218851,81,75,82,76,86,75,66,76,89,76,75,66,84,84,86,4,19568517,16873960,13986278,12274213,RU,RU,RU,RO
osu!Team,RU,915974,1181904,699294,967183,890162,713026,1154796,857783,941622,727340,37,23,44,28,45,35,16,42,10,59,32,37,29,51,35,4,7774197,7948169,7101953,10056419,RU,US,RU,IL
pollos squad,MX,575467,269634,202304,345086,503144,126293,522927,151907,194632,157554,94,92,92,92,96,83,89,94,90,89,96,86,94,96,93,3,8594847,3100669,1770700,,MX,MX,MX,
quals only,SG,609464,279402,525079,456307,1195509,866027,724195,248738,594703,473561,69,79,23,80,71,76,88,64,76,26,19,74,86,74,56,3,5143605,2138989,1843447,,SG,SG,SG,
rinbot,TH,1427177,1226859,1115478,1653108,1426569,1132495,1261629,917426,1541197,686539,9,2,9,22,27,5,13,10,1,14,7,26,22,14,39,4,18092331,3394696,12147277,9317938,TH,TH,TH,TH
sanae san,TW,925503,1086301,867489,841263,1044617,669709,1457649,817091,1346880,988825,25,24,37,20,23,34,24,26,22,38,37,10,32,24,18,4,4519494,8660293,10853073,1285637,TW,TW,TW,TW
seamob shredders,CA,693991,260095,327586,359549,293065,155926,331327,184187,222412,181034,93,85,95,96,92,67,90,85,88,97,94,98,89,93,91,2,13622508,14741322,,,CA,US,,
the avengers,US,1307190,1299757,1186443,845124,1208895,1049090,1309715,1277092,1184686,1312778,10,9,18,11,13,7,9,5,21,24,12,19,4,34,8,4,10651106,11106929,15173952,6036351,US,US,US,US
touhou haters,LV,608217,1133640,518563,513858,1052369,759301,734281,599040,997372,391755,53,57,31,65,54,77,18,65,69,37,27,73,51,46,65,4,10902307,21653406,10470806,11153810,LV,LV,LV,LV
wooters,US,1575688,1441076,700797,928474,1283627,725977,1439964,1255781,1425158,949042,13,8,27,8,21,3,6,41,14,20,29,11,5,18,21,4,14041375,11269055,6898948,8802914,US,US,US,US
yishyosh,GB,505494,476690,54974,338218,691539,307529,645190,293395,1102078,447154,80,93,81,81,48,91,79,99,91,73,79,81,82,38,60,3,11553627,13431620,12508873,,GB,GB,GB,
????????? ????,RU,71698,37154,47802,38349,36000,37221,42173,19405,27860,31556,100,100,100,101,101,100,101,100,100,100,100,101,101,101,101,2,25952679,25328743,,,RU,RU,,
? ????? ??????)),RU,1282780,1166759,1708240,938291,1140016,880156,1821839,895454,1561822,1172656,6,4,26,7,8,10,17,2,12,28,18,3,25,12,10,4,7972980,11375105,5791401,6090175,RU,CN,CN,CN
? IQ,ES,821487,1206308,711199,725019,893737,514818,1159890,675777,1595194,1024398,34,32,57,40,10,51,14,40,36,58,58,35,39,11,16,4,6735738,9895270,13204938,12760743,ES,ES,ES,ES
???? ??? ???? ?,MY,1041196,742122,639993,791322,1276761,543606,1253816,460610,1550210,635215,41,39,30,46,30,21,53,49,27,21,51,27,67,13,43,4,9364594,5585377,16436446,3645490,MY,MY,MY,MY
???,JP,880985,1028289,681297,795834,1296601,1186670,1124765,557200,1468758,959467,26,34,11,49,17,39,26,45,26,19,6,40,57,17,20,4,3062998,5645667,2845904,3162741,JP,JP,JP,JP
